"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.00111057337800293,0.00229573175806197,0.01,0.00969081026608888,-0.000475671344984107,0.0382621959676996,"habit formation"
"2",0.0021188013826464,0.00427466131217959,0.0095,0.00977695529412749,-0.000810072971780671,0.0352778909933557,"habit formation"
"3",0.00302658680187871,0.00596688265351794,0.009025,0.00982852680521352,-0.00106554037943604,0.0324783503344854,"habit formation"
"4",0.00383690306415969,0.00740043034706194,0.00857375,0.00984683463365409,-0.00125433981740647,0.0298593442125845,"habit formation"
"5",0.0045535454136935,0.00860133208092123,0.0081450625,0.00983354727395106,-0.00138717298209873,0.0274154592447166,"habit formation"
"6",0.00518092017562051,0.00959367485072057,0.007737809375,0.0097905944360954,-0.00147335041994114,0.0251403782442435,"habit formation"
"7",0.00572386731335733,0.0103996814358672,0.00735091890625,0.00972008548450206,-0.00152094807642976,0.0230271179364969,"habit formation"
"8",0.00618751200577867,0.01103979433696,0.0069833729609375,0.00962424167546999,-0.00153694838681223,0.0210682297874143,"habit formation"
"9",0.00657714144704068,0.0115327647918666,0.00663420431289062,0.0095053403446149,-0.00152736721667712,0.0192559685854034,"habit formation"
"10",0.00689810350064614,0.0118957448790217,0.00630249409724609,0.00936566940872609,-0.00149736787495958,0.0175824329111178,"habit formation"
"11",0.00715572422569458,0.0121443810566218,0.00598736939238378,0.00920749073796118,-0.00145136333841383,0.0160396811723557,"habit formation"
"12",0.00735524164074987,0.0122929077813088,0.0056880009227646,0.00903301112609395,-0.00139310774594885,0.0146198264680715,"habit formation"
"13",0.00750175340276135,0.0123542401048034,0.00540360087662636,0.00884435974042265,-0.00132577814375865,0.013315113172885,"habit formation"
"14",0.00760017635812797,0.0123400643663997,0.00513342083279505,0.00864357107055252,-0.00125204738817804,0.0121179777980753,"habit formation"
"15",0.00765521617321136,0.0122609262874358,0.00487674979115529,0.00843257251808997,-0.0011741490428424,0.0110210963836679,"habit formation"
"16",0.00767134547508125,0.0121263159345425,0.00463291230159753,0.00821317587871582,-0.001093935040136,0.0100174204058804,"habit formation"
"17",0.00765278913251019,0.0119447491549977,0.00440126668651765,0.00798707206541924,-0.00101292681412237,0.00910020294212894,"habit formation"
"18",0.00760351548452335,0.0117238452028639,0.00418120335219177,0.00775582850804824,-0.000932360553158405,0.0082630166194339,"habit formation"
"19",0.00752723248127002,0.0114704003714337,0.00397214318458218,0.00752088874084584,-0.000853227165152837,0.00749976467902654,"habit formation"
"20",0.00742738784155898,0.0111904575282312,0.00377353602535307,0.00728357375728045,-0.000776307496859857,0.00680468631805958,"habit formation"
"21",0.00730717245487083,0.0108893715155293,0.00358485922408542,0.0070450847711466,-0.000702203300592515,0.00617235731653252,"habit formation"
"22",0.00716952636465463,0.010571870433918,0.00340561626288115,0.00680650707543184,-0.000631364397171663,0.00559768682200631,"habit formation"
"23",0.00701714676572027,0.0102421128705646,0.00323533544973709,0.00656881473656595,-0.00056411244265249,0.00507591104469483,"habit formation"
"24",0.00685249753290577,0.009903741168902,0.00307356867725023,0.00633287590207055,-0.000500661668239618,0.00460258450952099,"habit formation"
"25",0.00667781987216111,0.00955993086386528,0.00291989024338772,0.00609945853492912,-0.000441136927654412,0.0041735694182897,"habit formation"
"26",0.00649514374986641,0.00921343642761074,0.00277389573121834,0.00586923641875788,-0.000385589353891127,0.00378502359295614,"habit formation"
"27",0.00630629981260311,0.00886663348588653,0.00263520094465742,0.00564279530458307,-0.000334009897627813,0.00343338739887367,"habit formation"
"28",0.00611293155864097,0.00852155767576226,0.00250344089742455,0.00542063909317635,-0.000286340992379965,0.00311536998381501,"habit formation"
"29",0.00591650756491666,0.00817994032202641,0.00237826885255332,0.00520319596687786,-0.000242486566638933,0.00282793511349787,"habit formation"
"30",0.00571833361000887,0.00784324111289058,0.00225935540992565,0.00499082440201634,-0.000202320600566043,0.00256828683642901,"habit formation"
"31",0.00551956456523055,0.00751267795627577,0.00214638763942937,0.00478381900774906,-0.000165694404165119,0.0023338551693103,"habit formation"
"32",0.00532121595306502,0.0071892541963976,0.0020390682574579,0.00458241614968855,-0.000132442775084314,0.00212228195830602,"habit formation"
