"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.00186421487354692,0.00256097498617787,0.01,0.0112913911856319,0.00198675567055478,0.0426829164362975,"habit formation"
"2",0.00342892066347228,0.0046921874334942,0.00949999999999999,0.0114319430254483,0.00159323350848858,0.0380811824414499,"habit formation"
"3",0.00473001712893262,0.00644946380825961,0.00902499999999999,0.0114853996488857,0.00125866776522352,0.0339801270129175,"habit formation"
"4",0.00579987549524014,0.00788216255568966,0.00857374999999998,0.0114646525771472,0.000974754222290113,0.0303277762654269,"habit formation"
"5",0.00666757195328926,0.00903384526673145,0.00814506249999998,0.0113811489478007,0.000734353159292029,0.0270768744063858,"habit formation"
"6",0.00735913119463885,0.00994289107438198,0.00773780937499998,0.0112450152910292,0.000531323189078399,0.0241846087275733,"habit formation"
"7",0.00789777155952427,0.010643056355987,0.00735091890624997,0.0110651774278518,0.000360379455064861,0.0216123124344652,"habit formation"
"8",0.0083041457256578,0.0111639824711268,0.00698337296093747,0.010849474814102,0.000216972505828845,0.0193251582749831,"habit formation"
"9",0.00859657268818521,0.0115316546711338,0.0066342043128906,0.0106047682568703,9.71847373847005e-05,0.0172918524712431,"habit formation"
"10",0.00879125818384841,0.0117688155366669,0.00630249409724606,0.010337040386534,-2.35822369160181e-06,0.0154843357633512,"habit formation"
"11",0.00890250178236418,0.0118953363817615,0.00598736939238376,0.0100514886085739,-8.45634175995093e-05,0.0138774962882446,"habit formation"
"12",0.00894288967524347,0.0119285500436947,0.00568800092276456,0.0097526105100377,-0.000151935609455244,0.0124488974139805,"habit formation"
"13",0.00892347279285523,0.0118835483868823,0.00540360087662633,0.00944428187568805,-0.000206633101600275,0.0111785224301545,"habit formation"
"14",0.00885393031938919,0.0117734477083197,0.00513342083279501,0.00912982759444239,-0.000250515651656239,0.0100485370775058,"habit formation"
"15",0.00874271898834235,0.0116096250589912,0.00487674979115526,0.00881208582029346,-0.000285185643992716,0.00904307021950974,"habit formation"
"16",0.00859720875679922,0.011401928303296,0.0046329123015975,0.00849346580349219,-0.000312023490123407,0.00814801246407173,"habit formation"
"17",0.00842380559776418,0.0111588625366782,0.00440126668651762,0.00817599983526684,-0.000332218088059726,0.00735083219299812,"habit formation"
"18",0.008228062234082,0.0108877552775477,0.00418120335219174,0.00786138975894875,-0.000346793047570999,0.0066404082178363,"habit formation"
"19",0.00801477767919504,0.0105949026485056,0.00397214318458215,0.00755104849692657,-0.000356629284068229,0.0060068781268457,"habit formation"
"20",0.00778808646023941,0.0102856985675137,0.00377353602535304,0.00724613703013052,-0.000362484495465746,0.00544150129864037,"habit formation"
"21",0.00755153838645194,0.0099647487844931,0.00358485922408538,0.00694759724767208,-0.000365009961388315,0.00493653551717072,"habit formation"
"22",0.007308169697279,0.00963597142446954,0.00340561626288111,0.00665618106106547,-0.000364765040389911,0.00448512611743341,"habit formation"
"23",0.00706056638513849,0.0093026855357013,0.00323533544973706,0.0063724761518299,-0.000362229686680696,0.00408120661166525,"habit formation"
"24",0.00681092044145598,0.00896768899060372,0.0030735686772502,0.00609692869448627,-0.000357815261747579,0.00371940978407475,"habit formation"
"25",0.00656107972437446,0.00863332694871502,0.00291989024338769,0.00582986336995493,-0.000351873876963097,0.00339498829245857,"habit formation"
"26",0.00631259209466513,0.00830155196416071,0.0027738957312183,0.00557150095780844,-0.000344706469765084,0.00310374387280965,"habit formation"
"27",0.00606674441448547,0.00797397670460124,0.00263520094465739,0.00532197377021014,-0.000336569787378041,0.00284196430483591,"habit formation"
"28",0.00582459695292045,0.00765192014390295,0.00250344089742452,0.00508133916599445,-0.000327682427596321,0.00260636735962963,"habit formation"
"29",0.00558701369351903,0.00733644799609102,0.00237826885255329,0.00484959136041881,-0.000318230065234321,0.00239405101370392,"habit formation"
"30",0.00535468899284493,0.00702840807282074,0.00225935540992562,0.00462667172475134,-0.000308369974942239,0.00220244927491945,"habit formation"
"31",0.00512817099572744,0.00672846116992453,0.00214638763942934,0.00441247775009561,-0.000298234945740981,0.00202929302455049,"habit formation"
"32",0.00490788217259859,0.00643710801984648,0.00203906825745787,0.00420687083169165,-0.000287936669468653,0.00187257533529019,"habit formation"
"33",0.0046941373070913,0.00615471278527654,0.00193711484458498,0.00400968301332845,-0.000277568674033246,0.00173052077701397,"habit formation"
"34",0.00448715922792031,0.00588152351438596,0.00184025910235573,0.00382072281639625,-0.00026720886265985,0.00160155827043337,"habit formation"
"35",0.00428709254788115,0.0056176899291231,0.00174824614723794,0.00363978026441549,-0.000256921711975129,0.00148429709333819,"habit formation"
"36",0.00409401564445096,0.00536327887447553,0.00166083383987604,0.00346663120151512,-0.000246760174590485,0.00137750568499672,"habit formation"
"37",0.00390795109079916,0.00511828771790212,0.00157779214788224,0.00330104099220191,-0.000236767325661423,0.00128009293158528,"habit formation"
"38",0.00372887472284096,0.00488265595379303,0.00149890254048813,0.00314276767976872,-0.000226977787571559,0.00119109164941711,"habit formation"
"39",0.00355672350711059,0.00465627523737155,0.00142395741346372,0.0029915646717394,-0.000217418962294308,0.00110964401343497,"habit formation"
"40",0.00339140235551213,0.00443899804549737,0.00135275954279053,0.00284718301275006,-0.000208112097019793,0.00103498870613512,"habit formation"
"1",0.00570850186703058,0.00225075239719584,0.00999999999999775,0.0130537196522329,0.00469803025990951,0.0375125399532641,"Cannonical Model"
"2",0.00664593077733123,0.00413382740118041,0.00949999999999572,0.0128791976733315,0.00398682207815367,0.0336353357969387,"Cannonical Model"
"3",0.00739786851045616,0.00569653090076968,0.0090249999999939,0.0126591982942768,0.00336516726164756,0.0301788857276683,"Cannonical Model"
"4",0.00798930321817734,0.00698052496115838,0.00857374999999228,0.0124021397608383,0.00282246763299811,0.027096431907248,"Cannonical Model"
"5",0.00844219239031211,0.00802248166113064,0.00814506249999083,0.0121153228951251,0.00234934872959069,0.0243464699606961,"Cannonical Model"
"6",0.00877581630644853,0.00885466210952743,0.00773780937498954,0.011805065921591,0.00193751996971343,0.0218921558010772,"Cannonical Model"
"7",0.00900709092608395,0.00950542915763473,0.00735091890623841,0.011476823601613,0.00157965072573528,0.0197007795779824,"Cannonical Model"
"8",0.00915084483989707,0.00999970135696993,0.00698337296092492,0.0111352924757814,0.00126926049836182,0.0177432991465548,"Cannonical Model"
"9",0.00922006437961561,0.0103593548544832,0.00663420431287718,0.0107845038080693,0.00100062159085322,0.015993926315525,"Cannonical Model"
