"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.000932107436773458,0.00128048749308893,0.005,0.00564569559281596,0.000993377835277389,0.0213414582181488,"sd_epsilon_A = 0.5"
"2",0.00171446033173614,0.0023460937167471,0.00475,0.00571597151272415,0.000796616754244291,0.0190405912207249,"sd_epsilon_A = 0.5"
"3",0.00236500856446631,0.0032247319041298,0.00451249999999999,0.00574269982444283,0.000629333882611762,0.0169900635064587,"sd_epsilon_A = 0.5"
"4",0.00289993774762007,0.00394108127784483,0.00428687499999999,0.00573232628857362,0.000487377111145057,0.0151638881327134,"sd_epsilon_A = 0.5"
"5",0.00333378597664463,0.00451692263336573,0.00407253124999999,0.00569057447390035,0.000367176579646014,0.0135384372031929,"sd_epsilon_A = 0.5"
"6",0.00367956559731943,0.00497144553719099,0.00386890468749999,0.00562250764551461,0.0002656615945392,0.0120923043637867,"sd_epsilon_A = 0.5"
"7",0.00394888577976214,0.0053215281779935,0.00367545945312499,0.00553258871392588,0.00018018972753243,0.0108061562172326,"sd_epsilon_A = 0.5"
"8",0.0041520728628289,0.00558199123556339,0.00349168648046874,0.00542473740705098,0.000108486252914423,0.00966257913749156,"sd_epsilon_A = 0.5"
"9",0.00429828634409261,0.00576582733556689,0.0033171021564453,0.00530238412843514,4.85923686923502e-05,0.00864592623562154,"sd_epsilon_A = 0.5"
"10",0.0043956290919242,0.00588440776833343,0.00315124704862303,0.00516852019326701,-1.1791118458009e-06,0.00774216788167561,"sd_epsilon_A = 0.5"
"11",0.00445125089118209,0.00594766819088077,0.00299368469619188,0.00502574430428696,-4.22817087997546e-05,0.00693874814412228,"sd_epsilon_A = 0.5"
"12",0.00447144483762173,0.00596427502184735,0.00284400046138228,0.00487630525501885,-7.59678047276218e-05,0.00622444870699024,"sd_epsilon_A = 0.5"
"13",0.00446173639642762,0.00594177419344115,0.00270180043831317,0.00472214093784403,-0.000103316550800138,0.00558926121507725,"sd_epsilon_A = 0.5"
"14",0.00442696515969459,0.00588672385415987,0.00256671041639751,0.00456491379722119,-0.00012525782582812,0.0050242685387529,"sd_epsilon_A = 0.5"
"15",0.00437135949417118,0.00580481252949558,0.00243837489557763,0.00440604291014673,-0.000142592821996358,0.00452153510975487,"sd_epsilon_A = 0.5"
"16",0.00429860437839961,0.005700964151648,0.00231645615079875,0.0042467329017461,-0.000156011745061704,0.00407400623203587,"sd_epsilon_A = 0.5"
"17",0.00421190279888209,0.00557943126833908,0.00220063334325881,0.00408799991763342,-0.000166109044029863,0.00367541609649906,"sd_epsilon_A = 0.5"
"18",0.004114031117041,0.00544387763877383,0.00209060167609587,0.00393069487947437,-0.0001733965237855,0.00332020410891815,"sd_epsilon_A = 0.5"
"19",0.00400738883959752,0.00529745132425278,0.00198607159229107,0.00377552424846329,-0.000178314642034114,0.00300343906342285,"sd_epsilon_A = 0.5"
"20",0.0038940432301197,0.00514284928375683,0.00188676801267652,0.00362306851506526,-0.000181242247732873,0.00272075064932018,"sd_epsilon_A = 0.5"
