"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.000932107436773433,0.00128048749308895,0.005,0.00564569559281604,0.000993377835277483,0.0213414582181492,"sd_epsilon_A = 0.5"
"2",0.0017144603317361,0.00234609371674714,0.00475,0.00571597151272422,0.000796616754244367,0.0190405912207254,"sd_epsilon_A = 0.5"
"3",0.00236500856446626,0.00322473190412986,0.0045125,0.00574269982444289,0.000629333882611822,0.0169900635064592,"sd_epsilon_A = 0.5"
"4",0.00289993774762002,0.00394108127784491,0.004286875,0.00573232628857369,0.000487377111145105,0.0151638881327139,"sd_epsilon_A = 0.5"
"5",0.00333378597664458,0.00451692263336582,0.00407253124999999,0.00569057447390042,0.000367176579646053,0.0135384372031934,"sd_epsilon_A = 0.5"
"6",0.00367956559731938,0.0049714455371911,0.00386890468749999,0.00562250764551468,0.00026566159453923,0.0120923043637871,"sd_epsilon_A = 0.5"
"7",0.0039488857797621,0.00532152817799362,0.00367545945312499,0.00553258871392595,0.000180189727532454,0.010806156217233,"sd_epsilon_A = 0.5"
"8",0.00415207286282887,0.00558199123556352,0.00349168648046874,0.00542473740705106,0.000108486252914441,0.00966257913749197,"sd_epsilon_A = 0.5"
"9",0.00429828634409258,0.00576582733556703,0.0033171021564453,0.00530238412843521,4.85923686923645e-05,0.00864592623562193,"sd_epsilon_A = 0.5"
"10",0.00439562909192419,0.00588440776833357,0.00315124704862304,0.00516852019326709,-1.17911184579003e-06,0.00774216788167599,"sd_epsilon_A = 0.5"
"11",0.00445125089118208,0.00594766819088092,0.00299368469619189,0.00502574430428704,-4.22817087997462e-05,0.00693874814412264,"sd_epsilon_A = 0.5"
"12",0.00447144483762173,0.0059642750218475,0.00284400046138229,0.00487630525501893,-7.5967804727615e-05,0.00622444870699057,"sd_epsilon_A = 0.5"
"13",0.00446173639642762,0.00594177419344131,0.00270180043831318,0.0047221409378441,-0.000103316550800132,0.00558926121507757,"sd_epsilon_A = 0.5"
"14",0.0044269651596946,0.00588672385416002,0.00256671041639752,0.00456491379722127,-0.000125257825828116,0.0050242685387532,"sd_epsilon_A = 0.5"
"15",0.00437135949417119,0.00580481252949573,0.00243837489557764,0.00440604291014681,-0.000142592821996355,0.00452153510975515,"sd_epsilon_A = 0.5"
"16",0.00429860437839963,0.00570096415164816,0.00231645615079876,0.00424673290174617,-0.000156011745061702,0.00407400623203613,"sd_epsilon_A = 0.5"
"17",0.00421190279888211,0.00557943126833923,0.00220063334325882,0.0040879999176335,-0.000166109044029862,0.00367541609649931,"sd_epsilon_A = 0.5"
"18",0.00411403111704102,0.00544387763877398,0.00209060167609588,0.00393069487947445,-0.000173396523785499,0.00332020410891838,"sd_epsilon_A = 0.5"
"19",0.00400738883959754,0.00529745132425293,0.00198607159229108,0.00377552424846336,-0.000178314642034114,0.00300343906342307,"sd_epsilon_A = 0.5"
"20",0.00389404323011973,0.00514284928375698,0.00188676801267653,0.00362306851506533,-0.000181242247732873,0.00272075064932039,"sd_epsilon_A = 0.5"
"21",0.003775769193226,0.0049823743922467,0.0017924296120427,0.00347379862383611,-0.000182504980694157,0.00246826775858555,"sd_epsilon_A = 0.5"
"22",0.00365408484863953,0.00481798571223491,0.00170280813144056,0.00332809053053281,-0.000182382520194956,0.00224256305871689,"sd_epsilon_A = 0.5"
"23",0.00353028319256928,0.00465134276785079,0.00161766772486854,0.00318623807591502,-0.000181114843340349,0.0020406033058328,"sd_epsilon_A = 0.5"
"24",0.00340546022072802,0.00448384449530199,0.00153678433862511,0.0030484643472432,-0.00017890763087379,0.00185970489203754,"sd_epsilon_A = 0.5"
"25",0.00328053986218727,0.00431666347435764,0.00145994512169385,0.00291493168497753,-0.000175936938481549,0.00169749414622944,"sd_epsilon_A = 0.5"
"26",0.0031562960473326,0.00415077598208048,0.00138694786560916,0.00278575047890428,-0.000172353234882543,0.00155187193640497,"sd_epsilon_A = 0.5"
"27",0.00303337220724277,0.00398698835230074,0.0013176004723287,0.00266098688510513,-0.000168284893689021,0.00142098215241809,"sd_epsilon_A = 0.5"
"28",0.00291229847646026,0.0038259600719516,0.00125172044871227,0.00254066958299728,-0.000163841213798161,0.00130318367981494,"sd_epsilon_A = 0.5"
"29",0.00279350684675955,0.00366822399804563,0.00118913442627665,0.00242479568020946,-0.000159115032617161,0.00119702550685209,"sd_epsilon_A = 0.5"
"30",0.0026773444964225,0.00351420403641048,0.00112967770496282,0.00231333586237572,-0.000154184987471121,0.00110122463745984,"sd_epsilon_A = 0.5"
"31",0.00256408549786375,0.00336423058496238,0.00107319381971468,0.00220623887504786,-0.000149117472870492,0.00101464651227536,"sd_epsilon_A = 0.5"
"32",0.00245394108629933,0.00321855400992335,0.00101953412872894,0.00210343541584588,-0.000143968334734328,0.0009362876676452,"sd_epsilon_A = 0.5"
"33",0.00234706865354568,0.00307735639263837,0.000968557422292497,0.00200484150666427,-0.000138784337016624,0.000865260388507084,"sd_epsilon_A = 0.5"
"34",0.00224357961396019,0.00294076175719308,0.000920129551177872,0.00191036140819817,-0.000133604431329926,0.000800779135216779,"sd_epsilon_A = 0.5"
"35",0.00214354627394061,0.00280884496456165,0.000874123073618978,0.00181989013220779,-0.000128460855987565,0.000742148546669182,"sd_epsilon_A = 0.5"
"36",0.00204700782222551,0.00268163943723785,0.000830416919938029,0.0017333156007576,-0.000123380087295243,0.000688752842498441,"sd_epsilon_A = 0.5"
"37",0.00195397554539961,0.00255914385895115,0.000788896073941127,0.001650520496101,-0.000118383662830712,0.000640046465792716,"sd_epsilon_A = 0.5"
"38",0.00186443736142051,0.0024413279768966,0.000749451270244071,0.0015713838398844,-0.00011348889378578,0.000595545824708629,"sd_epsilon_A = 0.5"
"39",0.00177836175355533,0.00232813761868586,0.000711978706731867,0.00149578233586974,-0.000108709481147155,0.000554822006717553,"sd_epsilon_A = 0.5"
"40",0.00169570117775609,0.00221949902274876,0.000676379771395273,0.00142359150637507,-0.000104056048509897,0.000517494353067626,"sd_epsilon_A = 0.5"
"1",0.00111852892412812,0.00153658499170674,0.006,0.00677483471137924,0.00119205340233298,0.025609749861779,"sd_epsilon_A = 0.6"
"2",0.00205735239808332,0.00281531246009657,0.0057,0.00685916581526907,0.000955940105093241,0.0228487094648704,"sd_epsilon_A = 0.6"
"3",0.00283801027735951,0.00386967828495584,0.005415,0.00689123978933147,0.000755200659134187,0.020388076207751,"sd_epsilon_A = 0.6"
"4",0.00347992529714402,0.00472929753341389,0.00514425,0.00687879154628843,0.000584852533374126,0.0181966657592567,"sd_epsilon_A = 0.6"
"5",0.0040005431719735,0.00542030716003898,0.00488703749999999,0.00682868936868051,0.000440611895575263,0.016246124643832,"sd_epsilon_A = 0.6"
"6",0.00441547871678326,0.00596573464462932,0.00464268562499999,0.00674700917461762,0.000318793913447075,0.0145107652365445,"sd_epsilon_A = 0.6"
"7",0.00473866293571452,0.00638583381359234,0.00441055134374999,0.00663910645671114,0.000216227673038945,0.0129673874606797,"sd_epsilon_A = 0.6"
"8",0.00498248743539464,0.00669838948267623,0.00419002377656249,0.00650968488846127,0.000130183503497329,0.0115950949649904,"sd_epsilon_A = 0.6"
"9",0.0051579436129111,0.00691899280268044,0.00398052258773437,0.00636286095412226,5.83108424308375e-05,0.0103751114827463,"sd_epsilon_A = 0.6"
"10",0.00527475491030902,0.00706128932200029,0.00378149645834765,0.0062022242319205,-1.41493421494839e-06,0.00929060145801119,"sd_epsilon_A = 0.6"
"11",0.0053415010694185,0.0071372018290571,0.00359242163543026,0.00603089316514445,-5.0738050559696e-05,0.00832649777294717,"sd_epsilon_A = 0.6"
"12",0.00536573380514608,0.007157130026217,0.00341280055365875,0.00585156630602272,-9.11613656731387e-05,0.00746933844838869,"sd_epsilon_A = 0.6"
"13",0.00535408367571314,0.00713012903212957,0.00324216052597581,0.00566656912541293,-0.00012397986096016,0.00670711345809309,"sd_epsilon_A = 0.6"
"14",0.00531235819163352,0.00706406862499203,0.00308005249967702,0.00547789655666553,-0.000150309390993739,0.00602912224650385,"sd_epsilon_A = 0.6"
"15",0.00524563139300543,0.00696577503539488,0.00292604987469317,0.00528725149217617,-0.000171111386395627,0.00542584213170618,"sd_epsilon_A = 0.6"
"16",0.00515832525407955,0.0068411569819778,0.00277974738095851,0.00509607948209541,-0.000187214094074043,0.00488880747844336,"sd_epsilon_A = 0.6"
"17",0.00505428335865853,0.00669531752200708,0.00264076001191058,0.0049055999011602,-0.000199330852835836,0.00441049931579917,"sd_epsilon_A = 0.6"
"18",0.00493683734044923,0.00653265316652878,0.00250872201131505,0.00471683385536934,-0.0002080758285426,0.00398424493070206,"sd_epsilon_A = 0.6"
"19",0.00480886660751705,0.00635694158910352,0.0023832859107493,0.00453062909815603,-0.000213977570440937,0.00360412687610768,"sd_epsilon_A = 0.6"
"20",0.00467285187614368,0.00617141914050838,0.00226412161521183,0.0043476822180784,-0.000217490697279448,0.00326490077918447,"sd_epsilon_A = 0.6"
"21",0.0045309230318712,0.00597884927069604,0.00215091553445124,0.00416855834860333,-0.000219005976832989,0.00296192131030267,"sd_epsilon_A = 0.6"
"22",0.00438490181836744,0.0057815828546819,0.00204336975772868,0.00399370863663937,-0.000218859024233948,0.00269107567046027,"sd_epsilon_A = 0.6"
"23",0.00423633983108314,0.00558161132142095,0.00194120126984224,0.00382348569109802,-0.000217337812008419,0.00244872396699935,"sd_epsilon_A = 0.6"
"24",0.00408655226487363,0.00538061339436239,0.00184414120635013,0.00365815721669184,-0.000214689157048547,0.00223164587044504,"sd_epsilon_A = 0.6"
"25",0.00393664783462472,0.00517999616922917,0.00175193414603262,0.00349791802197303,-0.000211124326177859,0.00203699297547532,"sd_epsilon_A = 0.6"
"26",0.00378755525679912,0.00498093117849658,0.00166433743873099,0.00334290057468514,-0.000206823881859051,0.00186224632368596,"sd_epsilon_A = 0.6"
"27",0.00364004664869132,0.00478438602276089,0.00158112056679444,0.00319318426212616,-0.000201941872426826,0.00170517858290171,"sd_epsilon_A = 0.6"
"28",0.00349475817175231,0.00459115208634192,0.00150206453845472,0.00304880349959674,-0.000196609456557794,0.00156382041577793,"sd_epsilon_A = 0.6"
