"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","Omega"
"1",0.00658052238239688,0.00471721699435061,0.00868980869211708,0.00374340372378416,0.00841110462908429,0,0.00191532401497121,0.00191532401497121,0.0319220669161869,0.0319220669161868,0.0124332124197621,0.01,"Non-Ricardian Agents omega Medium",0.5
"2",0.00723129551000606,0.00562976988066294,0.00904424367529929,0.00321748492913211,0.00722941055220136,0,0.00354115770959738,0.00354115770959738,0.0290125522587407,0.0290125522587407,0.0122617286084879,0.0095,"Non-Ricardian Agents omega Medium",0.5
"3",0.00775042886572106,0.00638053961152634,0.00930116159490371,0.00275212456736059,0.00618378603998446,0,0.00491156969166304,0.00491156969166304,0.0263813574106918,0.0263813574106918,0.0120532861664672,0.009025,"Non-Ricardian Agents omega Medium",0.5
"4",0.00815452795175822,0.006989363813356,0.00947350914586386,0.00234082926071037,0.0052596410338262,0,0.00605694330773633,0.00605694330773633,0.0240011299595513,0.0240011299595513,0.011814338410881,0.00857375,"Non-Ricardian Agents omega Medium",0.5
"5",0.00845835417388715,0.00747389994053072,0.00957276936867284,0.00197778081146635,0.00444390254632306,0,0.0070043613571348,0.0070043613571348,0.0218472441310442,0.0218472441310442,0.0115505501845128,0.0081450625,"Non-Ricardian Agents omega Medium",0.5
"6",0.00867501958850916,0.00784985447283529,0.00960911739819484,0.00165776699074748,0.00372485914966818,0,0.00777795129572513,0.00777795129572513,0.0198975270003071,0.0198975270003071,0.0112668843933509,0.007737809375,"Non-Ricardian Agents omega Medium",0.5
"7",0.00881616154081642,0.00813118849661389,0.00959156007394613,0.00137611937364615,0.00309202129658246,0,0.00839919495571209,0.00839919495571209,0.0181320122955078,0.0181320122955078,0.0109676794520085,0.00735091890625,"Non-Ricardian Agents omega Medium",0.5
"8",0.00889209924850258,0.00833030208000109,0.00952806106343742,0.00112865750571746,0.00253599586724163,0,0.00888720639885284,0.00888720639885284,0.0165327190080581,0.0165327190080581,0.0106567185735552,0.0069833729609375,"Non-Ricardian Agents omega Medium",0.5
"9",0.00891197417666906,0.00845819960771698,0.00942565298215644,0.000911638758252003,0.0020483734984081,0,0.00925898115322847,0.00925898115322847,0.0150834523051133,0.0150834523051133,0.010337291744773,0.00663420431289063,"Non-Ricardian Agents omega Medium",0.5
"10",0.00888387586191812,0.00852463802085448,0.00929053784279903,0.000721713294866935,0.00162162739725334,0,0.00952961975362139,0.00952961975362139,0.0137696244931106,0.0137696244931106,0.0100122511419778,0.0063024940972461,"Non-Ricardian Agents omega Medium",0.5
"11",0.00881495467499906,0.00853825970933835,0.00912817703070136,0.000555883630461393,0.00124902247382596,0,0.00971252820891847,0.00971252820891847,0.0125780940085729,0.0125780940085729,0.00968406066540786,0.00598736939238379,"Non-Ricardian Agents omega Medium",0.5
"12",0.00871152285985142,0.0085067116270367,0.00894337188053501,0.000411468316170198,0.000924533744281421,0,0.00981959775339663,0.00981959775339663,0.0114970206168879,0.0114970206168879,0.00935484020087185,0.0056880009227646,"Non-Ricardian Agents omega Medium",0.5
"13",0.00857914505073589,0.00843675203982672,0.0087403358198054,0.000286069331213742,0.000642773063186962,0,0.00986136599920732,0.00986136599920732,0.0105157351835749,0.0105157351835749,0.0090264051550977,0.00540360087662637,"Non-Ricardian Agents omega Medium",0.5
"14",0.00842271934680412,0.0083343461734326,0.00852275894628949,0.000177542805020812,0.000398923338662094,0,0.00984716139212188,0.00984716139212188,0.00962462254778344,0.00962462254778344,0.00870030175529302,0.00513342083279505,"Non-Ricardian Agents omega Medium",0.5
