"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","ShockType"
"1",0.00329026119119844,0.0023586084971753,0.00434490434605854,0.00187170186189208,0.00420555231454214,0,0.000957662007485606,0.000957662007485605,0.0159610334580934,0.0159610334580934,0.00621660620988107,0.005,"sd_epsilon_A = 0.5","A"
"2",0.00361564775500303,0.00281488494033147,0.00452212183764964,0.00160874246456606,0.00361470527610068,0,0.00177057885479869,0.00177057885479869,0.0145062761293704,0.0145062761293704,0.00613086430424393,0.00475,"sd_epsilon_A = 0.5","A"
"3",0.00387521443286053,0.00319026980576317,0.00465058079745185,0.00137606228368029,0.00309189301999223,0,0.00245578484583152,0.00245578484583152,0.0131906787053459,0.0131906787053459,0.00602664308323361,0.0045125,"sd_epsilon_A = 0.5","A"
"4",0.00407726397587911,0.003494681906678,0.00473675457293193,0.00117041463035518,0.0026298205169131,0,0.00302847165386817,0.00302847165386817,0.0120005649797756,0.0120005649797756,0.00590716920544048,0.004286875,"sd_epsilon_A = 0.5","A"
"5",0.00422917708694357,0.00373694997026536,0.00478638468433642,0.000988890405733175,0.00222195127316153,0,0.0035021806785674,0.0035021806785674,0.0109236220655221,0.0109236220655221,0.0057752750922564,0.00407253125,"sd_epsilon_A = 0.5","A"
"6",0.00433750979425458,0.00392492723641765,0.00480455869909742,0.00082888349537374,0.00186242957483409,0,0.00388897564786257,0.00388897564786257,0.00994876350015357,0.00994876350015357,0.00563344219667546,0.0038689046875,"sd_epsilon_A = 0.5","A"
"7",0.00440808077040821,0.00406559424830694,0.00479578003697307,0.000688059686823073,0.00154601064829123,0,0.00419959747785604,0.00419959747785604,0.00906600614775392,0.00906600614775391,0.00548383972600423,0.003675459453125,"sd_epsilon_A = 0.5","A"
"8",0.00444604962425129,0.00416515104000055,0.00476403053171871,0.000564328752858729,0.00126799793362082,0,0.00444360319942642,0.00444360319942642,0.00826635950402904,0.00826635950402904,0.0053283592867776,0.00349168648046875,"sd_epsilon_A = 0.5","A"
"9",0.00445598708833453,0.00422909980385849,0.00471282649107822,0.000455819379126002,0.00102418674920405,0,0.00462949057661423,0.00462949057661423,0.00754172615255666,0.00754172615255666,0.00516864587238648,0.00331710215644531,"sd_epsilon_A = 0.5","A"
"10",0.00444193793095906,0.00426231901042724,0.00464526892139951,0.000360856647433468,0.000810813698626669,0,0.00476480987681069,0.00476480987681069,0.00688481224655528,0.00688481224655528,0.00500612557098892,0.00315124704862305,"sd_epsilon_A = 0.5","A"
"11",0.00440747733749953,0.00426912985466918,0.00456408851535068,0.000277941815230697,0.00062451123691298,0,0.00485626410445924,0.00485626410445924,0.00628904700428646,0.00628904700428646,0.00484203033270393,0.0029936846961919,"sd_epsilon_A = 0.5","A"
"12",0.00435576142992571,0.00425335581351835,0.0044716859402675,0.000205734158085099,0.00046226687214071,0,0.00490979887669832,0.00490979887669832,0.00574851030844396,0.00574851030844396,0.00467742010043592,0.0028440004613823,"sd_epsilon_A = 0.5","A"
"13",0.00428957252536794,0.00421837601991336,0.0043701679099027,0.000143034665606871,0.000321386531593481,0,0.00493068299960366,0.00493068299960366,0.00525786759178744,0.00525786759178744,0.00451320257754885,0.00270180043831319,"sd_epsilon_A = 0.5","A"
"14",0.00421135967340206,0.0041671730867163,0.00426137947314474,8.87714025104058e-05,0.000199461669331047,0,0.00492358069606094,0.00492358069606094,0.00481231127389172,0.00481231127389172,0.00435015087764651,0.00256671041639753,"sd_epsilon_A = 0.5","A"
"15",0.00412327495676597,0.00410237594946192,0.00414693290906727,4.19863655895025e-05,9.43397349485236e-05,0,0.00489261633958599,0.004892616339586,0.00440750808814522,0.00440750808814522,0.00418891927659714,0.00243837489557765,"sd_epsilon_A = 0.5","A"
"16",0.0040272059908354,0.00402629823895654,0.00402823357795182,1.82368453977739e-06,4.09766184414254e-06,0,0.00484143246150405,0.00484143246150405,0.00403955170488689,0.00403955170488689,0.00403005726437862,0.00231645615079877,"sd_epsilon_A = 0.5","A"
"17",0.00392480501281423,0.0039409726426995,0.0039065030422428,-3.24809700194666e-05,-7.29819320401498e-05,0,0.00477324172080855,0.00477324172080855,0.0037049201165792,0.0037049201165792,0.00387402207405524,0.00220063334325883,"sd_epsilon_A = 0.5","A"
"18",0.0038175149117276,0.00384818166733538,0.0037827997393345,-6.16098941142563e-05,-0.000138432106904546,0,0.00469087345585148,0.00469087345585148,0.00340043730485747,0.00340043730485746,0.00372118984699584,0.00209060167609589,"sd_epsilon_A = 0.5","A"
"19",0.00370659251448797,0.00374948517232741,0.00365803745928946,-8.61718839122025e-05,-0.000193620775119908,0,0.0045968153739676,0.0045968153739676,0.00312323875778673,0.00312323875778673,0.00357186557709578,0.00198607159229109,"sd_epsilon_A = 0.5","A"
"20",0.00359312941112359,0.00364624500729141,0.00353300185471327,-0.000106709894289716,-0.000239767909366389,0,0.00449325087848437,0.00449325087848437,0.00287074044924722,0.00287074044924722,0.00342629196208465,0.00188676801267654,"sd_epsilon_A = 0.5","A"
"21",0.00347807057334852,0.00353964705151168,0.00340836518676854,-0.000123707911555003,-0.000277960985047988,0,0.00438209248166854,0.00438209248166854,0.00264061093155391,0.00264061093155391,0.00328465727681721,0.00179242961204271,"sd_epsilon_A = 0.5","A"
"22",0.00336223099468023,0.00343072092368801,0.00328469949043158,-0.000137597120371698,-0.000309168836836957,0,0.00426501170642686,0.00426501170642687,0.00243074622764066,0.00243074622764066,0.0031471023716064,0.00170280813144058,"sd_epsilon_A = 0.5","A"
"23",0.00324631055697853,0.00332035760258651,0.00316248832334033,-0.000148761436803844,-0.000334254090947656,0,0.0041434658384895,0.0041434658384895,0.0022392472408042,0.0022392472408042,0.00301372688802637,0.00161766772486855,"sd_epsilon_A = 0.5","A"
"24",0.00313090730731961,0.00320932517467273,0.00304213724573628,-0.000157542472101912,-0.000353984318334721,0,0.00401872185388826,0.00401872185388826,0.00206439942846884,0.00206439942846884,0.00288459477506837,0.00153678433862512,"sd_epsilon_A = 0.5","A"
"25",0.00301652931029047,0.00309828290271183,0.00292398316387181,-0.000164243985288315,-0.000369042039267877,0,0.00389187781337627,0.00389187781337627,0.00190465451202175,0.00190465451202175,0.00275973917996252,0.00145994512169387,"sd_epsilon_A = 0.5","A"
"26",0.00290360522387708,0.00298779378947258,0.00280830265566427,-0.000169135876704519,-0.00038003369648714,0,0.00376388198564004,0.00376388198564005,0.00175861401777258,0.00175861401777258,0.00263916678028486,0.00138694786560917,"sd_epsilon_A = 0.5","A"
"27",0.00279249373192797,0.0028783357928441,0.00269531938517291,-0.000172457769383112,-0.000387497702236324,0,0.00363554993438788,0.00363554993438788,0.00162501446477066,0.00162501446477066,0.00252286161706216,0.00131760047232871,"sd_epsilon_A = 0.5","A"
"28",0.00268349195253099,0.00277031183265894,0.00258521070151317,-0.000174422220346521,-0.000391911653773701,0,0.00350757978035282,0.00350757978035282,0.00150271403380353,0.00150271403380353,0.00241078848238754,0.00125172044871228,"sd_epsilon_A = 0.5","A"
"29",0.0025768429293861,0.00266405871513217,0.00247811350797946,-0.000175217599655076,-0.000393698802344173,0,0.00338056582764843,0.00338056582764843,0.00139068056861312,0.00139068056861312,0.00230289590949515,0.00118913442627666,"sd_epsilon_A = 0.5","A"
"30",0.00247274230225104,0.00255985508790591,0.00237412947830806,-0.000175010671181992,-0.000393233851957602,0,0.00325501072451294,0.00325501072451294,0.00128798077539018,0.00128798077539018,0.00219911880824811,0.00112967770496283,"sd_epsilon_A = 0.5","A"
"31",0.00237134424265301,0.00245792852708493,0.00227332968907483,-0.000173948905637588,-0.000390848156554309,0,0.00313133631104902,0.00313133631104902,0.00119377050011441,0.00119377050011441,0.002099380784512,0.00107319381971469,"sd_epsilon_A = 0.5","A"
