"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.00570850160086204,0.00225075243600571,0.01,0.013053719933317,0.00469803074988145,0.037512540600095,"base case"
"2",0.00664593052135384,0.00413382748784245,0.00949999999999999,0.0128791979550973,0.00398682254750445,0.0336353366332847,"base case"
"3",0.00739786827287108,0.00569653104088545,0.00902499999999999,0.0126591985782879,0.00336516770771358,0.0301788867052256,"base case"
"4",0.00798930300484092,0.00698052515759714,0.00857374999999999,0.0124021400480285,0.00282246805403674,0.0270964329860803,"base case"
"5",0.00844219220517979,0.00802248191461924,0.00814506249999999,0.0121153231859346,0.00234934912460313,0.0243464711079653,"base case"
"6",0.00877581615194743,0.00885466241913937,0.00773780937499998,0.0118050662160786,0.00193752033829595,0.0218921569899546,"base case"
"7",0.00900709080342453,0.00950542952119391,0.00735091890624998,0.0114768238995495,0.00157965106795482,0.0197007807867148,"base case"
"8",0.00915084474933294,0.00999970177138219,0.00698337296093748,0.0111352927767249,0.00126926081465222,0.0177433003576651,"base case"
"9",0.0092200643206594,0.010359355316007,0.0066342043128906,0.0107845041114279,0.00100062188192908,0.0159939275151281,"base case"
"10",0.00922611048988935,0.0106035796614786,0.00630249409724607,0.0104279059494549,0.000768673130505669,0.0144297610738671,"base case"
"11",0.00917891078064799,0.0107491925658944,0.00598736939238376,0.0100684355429313,0.000568943555019041,0.0130304614017425,"base case"
"12",0.00908712903978633,0.0108109187182487,0.00568800092276457,0.00970858324920995,0.000397484567112539,0.0117779617717986,"base case"
"13",0.00895831560052859,0.0108016363360695,0.00540360087662634,0.00935044888651845,0.000250809995786867,0.0106562123485958,"base case"
"14",0.00879904007770167,0.0107325953427309,0.00513342083279502,0.00899579141643106,0.000125842928150901,0.00965095311375831,"base case"
"15",0.00861500878112077,0.0106136103694282,0.00487674979115527,0.00864607272386204,1.98686132120217e-05,0.0087495124543537,"base case"
"16",0.00841116850720432,0.0104532314577975,0.00463291230159751,0.00830249617720045,-6.95072604371908e-05,0.00794062850891599,"base case"
"17",0.00819179826855257,0.0102588950120331,0.00440126668651763,0.0079660405731501,-0.000144395523966852,0.00721429069505648,"base case"
"18",0.00796059034363628,0.0100370572593773,0.00418120335219175,0.00763749000166385,-0.000206656266281642,0.00656159913443659,"base case"
"19",0.00772072187132423,0.00979331222079277,0.00397214318458216,0.00731746010506029,-0.000257927830729224,0.00597463994963527,"base case"
"20",0.00747491807544149,0.009532495965758,0.00377353602535305,0.00700642115108972,-0.000299652496153995,0.00544637463687979,"base case"
"21",0.00722550808086742,0.00925877872313511,0.00358485922408539,0.00670471829158117,-0.000333099219583601,0.00497054192204304,"base case"
"22",0.00697447417305188,0.00897574624100864,0.00340561626288112,0.00641258933565193,-0.000359383774995597,0.00454157068769375,"base case"
"23",0.00672349525565825,0.00868647162968378,0.00323533544973707,0.00613018032867084,-0.000379486584631455,0.00415450271892749,"base case"
"24",0.00647398517491587,0.00839357878135429,0.00307356867725021,0.00585755919468585,-0.000394268505653641,0.00380492415752555,"base case"
"25",0.00622712650293125,0.0080992983352573,0.0029198902433877,0.00559472767036364,-0.000404484805090223,0.00348890467973766,"base case"
"26",0.0059839003045535,0.00780551704661102,0.00277389573121831,0.00534163173221242,-0.000410797529547045,0.00320294352448588,"base case"
"27",0.00574511235243119,0.00751382131967364,0.0026352009446574,0.00509817069558108,-0.000413786452706039,0.00294392159765442,"base case"
"28",0.00551141620176025,0.00722553557844101,0.00250344089742453,0.00486420514330994,-0.000413958762829018,0.00270905896579651,"base case"
"29",0.00528333348913246,0.00694175607155397,0.0023782688525533,0.00463956382364639,-0.000411757634047494,0.00249587713032343,"base case"
"30",0.00506127177816384,0.00666338063979082,0.00225935540992563,0.00442404964086503,-0.000407569808872892,0.00230216554216819,"base case"
"31",0.00484554023760335,0.00639113491408553,0.00214638763942935,0.00421744484770938,-0.000401732304870773,0.00212595187803583,"base case"
"32",0.00463636340485604,0.00612559535845324,0.00203906825745788,0.00401951553608958,-0.000394538345596714,0.00196547565354732,"base case"
"33",0.00443389325882083,0.00586720952474452,0.00193711484458499,0.00383001551124112,-0.000386242604503984,0.00181916479664112,"base case"
"34",0.00423821980021926,0.00561631384409241,0.00184025910235574,0.00364868962460802,-0.0003770658404384,0.00168561484720921,"base case"
"35",0.00404938031480047,0.00537314924265077,0.00174824614723795,0.00347527663191391,-0.0003671989943874,0.00156357048673171,"base case"
"36",0.00386736747461644,0.00513787483620259,0.00166083383987605,0.00330951163509458,-0.000356806809218069,0.0014519091351809,"base case"
"37",0.00369213641467484,0.00491057992896115,0.00157779214788225,0.00315112815987218,-0.000346031027107631,0.00134962638217861,"base case"
"38",0.00352361090643219,0.00469129451596779,0.00149890254048813,0.00299985991465128,-0.000334993213137272,0.00125582304573837,"base case"
"39",0.00336168873555575,0.00447999846552704,0.00142395741346373,0.00285544227101981,-0.000323797247995703,0.00116969367528861,"base case"
"40",0.00320624637895215,0.00427662953777895,0.00135275954279054,0.00271761350136348,-0.000312531527842104,0.00109051633639213,"base case"
"1",0.00649631146313039,0.00279013869735562,0.01,0.0130959407405247,0.00412792098755297,0.0465023116225937,"alt case"
"2",0.0073700086489981,0.00500205524947568,0.0095,0.0126960024817547,0.00333129041006871,0.0396554145660235,"alt case"
"3",0.00801156949188737,0.00673364336867687,0.00902500000000001,0.0122759877078091,0.00266729852742859,0.0338618572361621,"alt case"
"4",0.00846223250158926,0.00806705541008878,0.00857375000000001,0.0118432013012587,0.00211472061228812,0.0289571773922087,"alt case"
"5",0.00875651504088223,0.00907119494605486,0.00814506250000001,0.0114035921363705,0.00165568771196034,0.0248027143428569,"alt case"
"6",0.00892328198852439,0.00980381654175353,0.00773780937500001,0.0109619766650812,0.00127515807157959,0.021281554874366,"alt case"
"7",0.00898664577581258,0.0103132945384429,0.00735091890625001,0.0105222268282961,0.00096047171562695,0.0182951164865763,"alt case"
"8",0.00896672434076591,0.0106401129302513,0.00698337296093752,0.0100874279278471,0.000700975109875608,0.0157602677352491,"alt case"
"9",0.00888027936878222,0.0108181202284899,0.00663420431289064,0.00966001120705729,0.000487704882276165,0.0136069012342284,"alt case"
"10",0.00874125366998117,0.010875586303706,0.00630249409724611,0.00924186514007312,0.000313121314404478,0.0117758881487582,"alt case"
"11",0.00856122357814589,0.0108360923775654,0.00598736939238381,0.00883442879997772,0.000170883775682495,0.0102173542013625,"alt case"
"12",0.00834977975719732,0.0107192804334486,0.00568800092276462,0.00843877014469495,5.56615035056159e-05,0.00888922664228447,"alt case"
"13",0.00811484769515485,0.0105414841824962,0.00540360087662639,0.00805565161223787,-3.70258302193607e-05,0.00775600958424328,"alt case"
"14",0.00786295739075647,0.0103162602395075,0.00513342083279507,0.00768558503980973,-0.000110942451369631,0.00678775179935059,"alt case"
"15",0.00759947024225084,0.0100548352283934,0.00487674979115532,0.00732887760355609,-0.000169249663196977,0.00595917672093867,"alt case"
"16",0.00732876988744185,0.00976648206371263,0.00463291230159756,0.00698567020806057,-0.000214601200747507,0.00524894915038082,"alt case"
"17",0.00705442268187359,0.00945883657058751,0.00440126668651768,0.00665596952910916,-0.000249223564354003,0.00463905717829393,"alt case"
"18",0.00677931260691669,0.00913816384885747,0.0041812033521918,0.00633967472319191,-0.000274983695438631,0.00411429120842017,"alt case"
"19",0.00650575464518503,0.00880958230713271,0.00397214318458221,0.00603659965707866,-0.000293445986204493,0.0036618048201113,"alt case"
"20",0.00623559002503281,0.00847725204501804,0.0037735360253531,0.00574649137589164,-0.000305920301577578,0.00327074460522149,"alt case"
"21",0.00597026620019869,0.00814453321058233,0.00358485922408544,0.0054690454144341,-0.000313502427796492,0.00293193813775615,"alt case"
"22",0.00571090397924951,0.00781411907429666,0.00340561626288117,0.00520391846077748,-0.0003171081395915,0.00263763093915446,"alt case"
"23",0.00545835383907959,0.00748814781415532,0.00323533544973712,0.00495073880044341,-0.000317501890419914,0.00238126473860765,"alt case"
"24",0.00521324313617347,0.00716829637761426,0.00307356867725026,0.00470911490156524,-0.000315320972231331,0.00215729053847089,"alt case"
"25",0.0049760156592291,0.00685585925586531,0.00291989024338775,0.00447864244417755,-0.000311095858087828,0.00196101101513166,"alt case"
"26",0.00474696473913116,0.00655181455924809,0.00277389573121836,0.00425891004857336,-0.000305267328754388,0.00178844764557835,"alt case"
"27",0.00452626094047657,0.00625687940616904,0.00263520094465744,0.00404950391706791,-0.000298200889811007,0.0016362286745971,"alt case"
"28",0.00431397519725239,0.00597155632069494,0.00250344089742457,0.00385001156931662,-0.000290198906145386,0.00150149464826734,"alt case"
"29",0.00411009811910218,0.00569617206670193,0.00237826885255334,0.00366002482254384,-0.000281510813525467,0.00138181875414483,"alt case"
"30",0.00391455607988936,0.00543091012123856,0.00225935540992568,0.00347914214379886,-0.000272341710353463,0.00127513964231233,"alt case"
"31",0.00372722460360353,0.00517583779998829,0.00214638763942939,0.00330697048094862,-0.000262859585006735,0.00117970476706728,"alt case"
"32",0.00354793948121586,0.00493092888781658,0.00203906825745793,0.00314312666193936,-0.000253201393976043,0.00109402259712645,"alt case"
"33",0.00337650598347813,0.00469608249266142,0.00193711484458503,0.00298723843740311,-0.000243478172138824,0.00101682230189718,"alt case"
"34",0.00321270647685835,0.00447113872751432,0.00184025910235578,0.00283894522952075,-0.000233779327960035,0.000947019740209825,"alt case"
"35",0.00305630670111335,0.00425589172960419,0.00174824614723799,0.00269789863981925,-0.000224176252357958,0.000883688762345429,"alt case"
"36",0.00290706092598213,0.0040501004453261,0.00166083383987609,0.00256376275997388,-0.000214725349701123,0.000826036991635931,"alt case"
"37",0.00276471616993486,0.00385349754158176,0.00157779214788229,0.00243621432244767,-0.00020547058232012,0.000773385382920495,"alt case"
"38",0.0026290156348138,0.00366579674702004,0.00149890254048817,0.0023149427217166,-0.000196445605523017,0.000725150965553061,"alt case"
"39",0.0024997014856954,0.0034866988785015,0.00142395741346376,0.00219964993171561,-0.000187675557972853,0.000680832271710976,"alt case"
"40",0.00237651708466602,0.0033158967675423,0.00135275954279058,0.00209005034084565,-0.000179178562063941,0.000639997029181389,"alt case"
